<eps>	sil
kantunjame	kʰ a tʰ u n tɕ e m
katun	k a t ɤ n
kejine	kʰ ɤ tɕ i n ɤ
kemuni	kʰ ɤ m u n i
komso	kʰ o m z o
kooli	kʰ ɔ tʃ
kubun	kʰ u p u n
labdu	l ɔ t ɔ
labdukan	l ɔ t ɔ kʰ ɤ n
lamun	l a m ɤ n
langse	l aŋ z ɤ
layame	l a j e m
mafa	m a f ɤ
mahala	m a ʁ ɤ l a
majige	m æ tɕ i k
mama	m a m u
manda	m a n t a
manggi	m aŋ
manju	m a n ʐ u
marimbi	m æ ɾ i m i e
mejige	m e tɕ i k ɤ
meni	m ɤ n
micihiyan	m i tɕʰ i a ʁ ɤ
minbe	m i n p ɤ
minggan	m iŋ ŋ a n
mini	m i n
miningge	m i n iŋ
moo	m u
moro	m o ɾ
mujangga	m u ʐ aŋ
mujanggo	m u ʐ aŋ ŋ ɤ n o
mujilen	m u tɕ i l ɤ n
muke	m u kʰ ɤ
muru	m u ɾ u
muse	m ɤ t͡s ɤ
mutembi	m u tʰ ɤ m i e
mutembio	m u tʰ ɤ m n o
muten	m u tʰ ɤ n
muterakv	m u tʰ ɤ ɾ ɢ ɯ
na	n a
nadan	n a t a n
nadanju	n a t a n ʐ u
nakaci	n a kʰ tɕʰ i
nakcu	n a ɢ ʈʂʰ u
nasan	n a s a n
neime	n e m
nekcu	n ɤ ɢ ʈʂʰ u
neneme	n ɤ n ɤ m ɤ
ni	n e
ni	n i e
nikan	n i a kʰ a n
nimanggi	n i m iŋ
nimaraha	n i m a ɾ ɤ ʁ ɤ
nimarambi	n i m a ɾ ɤ m i e
nimeku	n i m kʰ u
nimembi	n i m i m i e
nimeme	n i m iŋ
nimenbi	n i m i m i e
ningguci	n iŋ k u tɕʰ i
ninggude	n iŋ k u t ɤ
ninju	n i n ʐ u
nio	n o
niohe	n i o x u
niowanggiyan	n iŋ ŋ ɤ j a n
niyalma	n i a m a
niyangnarakv	k i j aŋ n ɤ ɾ u
niyengniyeri	n iŋ n i e ɾ i
non	n o n
nurhaci	n u ɾ k a tɕʰ i
o	o
oboci	o p ɤ tɕʰ i
obofi	o v o
obombi	o p u m i e
obome	o p o m
obu	ɔ v u
obufi	o p i e
obumbi	o p u m i e
ocibe	o tɕʰ i p ɤ
ofi	o p i e
oho	ɔ ʁ ɤ
ohobi	o ʁ ɤ p i
oilode	o i t ɤ
ojorakv	o ʐ u ɾ ɢ ɯ
ojoro	o ʐ o ɾ
okdombi	o kʰ t o m i e
oki	o tɕʰ i
okto	ɔ kʰ tʰ o
olhoho	o l k u ʁ
ombi	ɔ m i e
ombini	o m i n e
ome	o m
omicina	ɔ m i tɕʰ i n a
omiha	ɔ m i ʁ
omihangge	ɔ m i ʁ n iŋ ɤ
omiki	o m u k i
omimbi	o m u m i e
omime	o m e m
omirakv	o m u ɢ ɯ
oncokon	o n tʃ u kʰ o n
onggolo	o n ŋ o l o
oori	ɔ ɾ o
orho	o ɾ tɕʰ o
orin	o ɾ i n
puseli	p u z e l
sabu	s a p u
sabubumbi	s a v u p u m
sabuha	s a v u ɣ ɤ
sabume	s a v ɤ m ɤ
saburakv	s a v u ʁ a ɢ ɯ
sacibuha	s a tɕʰ i p u ʁ ɤ
saha	s a k ɤ
sahaliyan	s a x a l j a n
saikan	s æ kʰ a n
sain	s a n
saiyvn	s a n o
saka	s a kʰ
sakda	s a k t ɤ
sargan	s a ɾ k a n
sarkv	s a ɾ ɢ ɯ
sasa	s a z e
se	s ɤ
sefu	s ɤ v ɤ
sehede	s ɤ x t ɤ
sejen	s ɤ ʐ ɤ n
sekteki	s ɤ kʰ tʰ ɤ kʰ i
sembi	ɤ m u
sembio	k ɤ m u n o
senggi	s ɤŋ ŋ ɤ
ser	s ɤ ɾ
sere	s ɤ ɾ ɤ
serebumbi	s ɤ ɾ p u m i e
serguwen	s ɤ ɾ k u n
si	ç i
sibkimbi	x i p k i m
sikse	s i k z ɤ
siltan	x i l tʰ a n
simbe	ç i n p ɤ
sindaha	ʂ ɤ n t a x
sindaki	ʂ ɤ n t a kʰ i
sindaki	ʂ ɤ n t a kʰ i
sindame	ʂ ɤ n t a m
sindarabuki	ʂ ɤ n t a ɾ ɤ p u kʰ i
sinde	ç i n t ɤ
sini	ç i n ɤ
sirame	ç i ɾ a m
sitara	ç i tʰ a ɾ a
soktoho	s o kʰ tʰ o ʁ ɤ
somo	s u o m ɤ n
sorome	s o ɾ u m
subumbi	s u p u m
sukdun	s u kʰ t u n
suki	s u kʰ i e
sulfa	s u l a f ɤ
sulfakan	s u l a x o
sunja	s u n ʐ a
susai	s u s æ
suwayan	s u a y a n
suwe	s u a n
suweni	s u n
taci	tʰ æ tɕʰ i
tacibumbi	tʰ æ tɕʰ i p u m
tacikv	tʰ æ tɕʰ i kʰ u
tacimbi	tʰ æ tɕʰ i m i
tacimbio	tʰ æ tɕʰ i m n o
tacime	tʰ æ tɕʰ i m
tacin	tʰ æ tɕʰ i n
takafi	tʰ a kʰ ɤ p e
takambio	tʰ a kʰ ɤ m n o
tana	tʰ a n a
tanggv	tʰ aŋ ŋ u
tantaki	tʰ a n tʰ a kʰ i
tarici	tʰ æ ɾ i tɕʰ i
tarie	tʰ æ ɾ i e
tatabuha	tʰ a tʰ p u ʁ ɤ
te	tʰ ɤ
tebuhengge	tʰ o n iŋ ŋ ɤ
tebuki	t ɤ p u kʰ i
tebume	tʰ ɔ m
tehebi	tʰ i e x p i
tehembi	tʰ i e m i e
teike	tʰ e k
teiki	tʰ i kʰ ɤ
teile	tʰ e l e
teile	t i e l i e
teki	tʰ i e
